timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682403404253,54305,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403404253,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403405255,78470,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403405255,56603,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403405255,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403406259,78288,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403406259,56320,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403406259,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403407270,78594,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403407270,55921,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403407270,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403408278,78430,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403408278,53794,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403408279,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403409294,78322,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403409294,46515,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403409294,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403410296,78206,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403410296,65193,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403410296,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403411305,77962,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403411305,50458,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403411305,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403412310,77967,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403412310,50763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403412310,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403413315,76860,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403413315,43862,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403413315,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403414329,77014,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403414329,52722,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403414329,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403415333,76948,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403415333,55256,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403415333,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403416344,77048,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403416344,60815,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403416344,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403417349,76914,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403417349,49139,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403417349,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403418352,76657,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403418352,58745,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403418352,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403419369,76095,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403419369,50483,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403419369,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403420377,76054,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403420377,55924,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403420377,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403421389,75339,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403421389,65738,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403421389,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403422393,74648,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403422393,60651,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403422393,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403423395,74120,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403423395,49522,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403423395,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403424402,73974,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403424402,51448,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403424402,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403425409,73670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403425409,51818,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403425409,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403426420,72779,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403426421,47237,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403426421,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403427426,72575,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403427426,47261,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403427426,4000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403428429,72431,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403428429,50860,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403428429,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403429438,72290,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403429438,38023,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1682403429438,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1682403430443,72201,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1682403430443,37359,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
